id;title;description;due_date;completed
1;woot along minus;scissors;2024-08-16;true
2;undertake likely hmph;where nor;2024-08-16;false
3;conspire underspend;finally;2024-08-16;false
4;that lest;atop before small;2024-08-17;true
5;clock yahoo;intensely change considering;2024-08-17;true
6;oasis;eek ecosystem minute;2024-08-17;false
7;merrily wound besides;resurrect wisely;2024-08-17;true
8;generally;orderly colour grounded;2024-08-17;false
9;cape fetter considerate;through worth;2024-08-17;false
10;mentor taxi unfortunately;youthfully even;2024-08-17;false
